businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,workYear,salary,description
,苏州,苏州苏信环境科技有限公司,苏信环境,50-150人,2018-08-24 09:27:24,工业园区,本科,其他,[],全职,5015164,不限,4k-6k,"职位描述：

岗位职责：    
1、负责销售、客服、推广、人事等数据的收集与报表制作；    
2、整合相关数据，完成分析与研究；    
3、根据公司相关部门的数据处理需求，对运营数据进行分析并提交报告；    
4、协调资源分配使用并对使用后规范、反馈、统计等一条线做好数据统计；    
5、主抓资源产出的监管及盯紧工作，确保既定投入与产出有序开展；    
6、协调及督促渠道部日常运营开展中异常事件的发现、协调、解决或及时反馈事宜；    
7、完成主管交代的其他工作事务。    
任职资格    
1、大学本科学历及以上，数学，统计，信息，会计、财务、相关专业优先；    
2、有数据分析相关工作经验优先，优秀应届毕业生也可考虑；    
3、热爱数据分析工作、对数据敏感、能够从繁杂的数据中找到规律、工作细致认真，   追求细节；    
4、性格开朗，有较好沟通能力及执行能力，有较强的团队合作精神；    

5、 学习能力强，反应迅速，且具备持续改善精神；

【福利待遇】
1、  提供话费补助，餐费补助，可安排住宿；
2、  协助外地员工申请园区优租房；
3、  不定期公司旅游；
4、  公司为员工缴纳“五险一金”：养老保险、医疗保险、工伤保险、失业保险、生育保险及住房公积金；
5、  科学合理的绩效考核体制、奖金分配体制、晋升晋级制度；
6、  月度特别奖金：总经理特别奖、优秀员工奖励、最佳新人奖、精神面貌奖励等等；
7、  节假日有精美礼品，每月举办集体生日及团队建设活动；
8、  本科及以上学历占90%，高素质，有活力，环境好，工作氛围好；
9、  根据学历及工作经验，确定具有竞争力的薪资！一经录用，发展空间广阔！"
['独墅湖'],苏州,上海策炬网络科技有限公司苏州分公司,策炬网络,15-50人,2018-08-15 11:09:36,工业园区,本科,游戏,[],全职,4949737,3-5年,6k-10k,"职位描述：

工作内容：
1、构建微信公众号运营数据分析模型；
2、对运营各关键节点基础数据进行深度分析和挖掘；
3、协助业务部门解决各类专项数据统计和分析需求；
4、挖掘用户行为数据并形成分析报告，支持战略及运营策略；
 
任职要求：
1、本科及以上学历；
2、数据分析岗位相关工作经历，有海量数据分析经验（互联网数据分析用户属性、行为特征方面经验优先）；
3、理解数据挖掘的原理，掌握相关的算法及应用，至少掌握一种或者几种主流数据库，如MySQL、Oracle、SQLServer等，精通SQL语句，必须精通Excel软件，高效处理数据，会写Python爬虫程序优先；
4、良好的逻辑分析能力，对数据敏感；有良好的书面表达和口头沟通能力，能够熟练撰写分析报告。
职能类别：大数据开发/分析"
,苏州,苏州新代数控设备有限公司,新代数控,150-500人,2018-08-21 16:09:16,工业园区,本科,其他,"['工具软件', '云计算', '数据处理', '数据库开发', '数据挖掘']",全职,5029889,1-3年,6k-8k,"职位描述：

岗位职责：
1、梳理用户服务部数据分析需求，规划报表需求，实现日常数据可视化；
2、对帆软和BI等报表的数据生成等操作；
3、与多部门密切沟通，负责所需数据的提取、查询、处理、分析等工作，以解决用户服务部的数据问题与需求；
4、 监控用户服务部日常运营及业务指标，及时对异常情况进行预警；
任职要求：
1、本科学历，计算机、通信等相关专业，优秀的大专生亦可；
2、0.5年-2年相关工作经验，曾经任职数据分析工作者优先；
3、较强的学习接收能力，能快速熟练的掌握公司软件产品的各种功能；
4、熟练掌握基本操作系统的管理、维护；
5、对工作认真负责，具有服务精神；

福利待遇
1.    有竞争力的薪酬，年终14薪，季度奖金，年终嘉奖，每年10%调薪
2.    享受社会保障(五险一金)
3.    享受法定带薪假期(婚嫁、生育、陪产、丧假、年休假)
4.    享受各种津贴、补贴、节日慰问金、福利品、年终奖
5.    鼓励终身学习，提供在职学习
6.    年度浪漫之旅，年度体检
7.    丰富的员工活动，春游、聚餐、家庭日、年会等
8.    舒适的工作环境及完善的娱乐休闲设施，包括篮球场、羽毛球场、桌球室、跑步机等"
,苏州,苏州链家房地产经纪有限公司,苏州链家房地产经纪有限公司,2000人以上,2018-08-20 11:21:37,工业园区,本科,"生活服务,O2O",[],全职,4312157,1-3年,5k-8k,"职位描述：

岗位职责：
1.运营报表分析、监控：掌握经营指标体系，并基于指标体系理解，及时发现和定位企业运营中过程存在的问题；
2.业务效率提升：房客业务数据分析模块的经营分析和研究，提升业务转化效率；
3.关键策略落地：通过经营分析，参与公司战略和运营管理规则的制度和优化，帮助关键策略的实施落地。

任职要求：
1.大学统招本科及以上学历，统计学、市场营销等相关专业优先，有咨询类、研究性工作，房地产经纪行业背景优先；
2.熟练使用EXCEL、PPT、SQL等工具；
3.综合素质良好，有报告撰写、跨部门沟通能力强，有解决复杂业务需求的思维和用数据驱动业务员落地的能力。"
"['观前街', '桃花坞', '南门']",苏州,杭州高信资产管理有限公司苏州分公司,苏州高信资产管理有限公司,500-2000人,2018-07-30 09:03:07,姑苏区,本科,金融,[],全职,4855842,5-10年,25k-40k,"职位描述：

大数据分析经理  职位描述
1、针对公司金融业务，用户行为等应用数据，开展大数据分析技术研究。针对系统日志进行数据收集、处理和用户行为分析；
2、负责大数据体系架构设计和应用产品的研究；预测模型的建立和改进，开发功能及维护；
3、针对数据处理效率问题，对使用到的相关大数据组件进行性能优化；
4、基于公开可用的用户信息数据库或自有数据，构建规范通用的数据库，并配合业务、信控部门需求进行数据分析，为公司业务产品体系提供数据支持；
5、根据开发规范与流程，独立完成相关软件模块的设计、编码、测试；
6、负责数据分析挖掘平台的建立，通过对平台数据深入挖掘，开发数据产品，分析业务状况和变化趋势，改善服务职能，创新业务方向；
7、借助技术手段进行高效的数据处理，构建灵活、易用的数据模块，提供数据接入及接口的数据支撑；
8、配合数据治理工作、后台调优（包括大数据部分）；
9、负责收集、整理和分析用户行为，分析评估行业、竞争对手等相关信息，挖掘分析结果的商业价值，提出相关方案和建议，实施相应的跟进措施；
10、参与金融行业BI系统的开发工作，负责数据统计分析挖掘和主题数据产品建设，通过数据指标体系反映业务状况，发现和分析其中隐含的变化和问题，为业务发展提供决策支持；
任职要求
1. 计算机相关专业本科及以上学历，精通数据仓库和数据挖掘的相关技术，5年以上软件行业工作经验，其中三年以上大数据领域实际开发或架构经验。有金融行业大数据分析经验者优先考虑；
2. 掌握Java/Scala其中至少一种，和至少一种脚本语言，如Python/Shell，熟悉Hadoop、hive、Hbase、Storm、Spark、Redis、Zookeeper、Impala、Kafka、Flume、Sqoop等分布式计算相关技术，熟悉其运行机制和体系结构；
3. 具有大型大数据平台架构设计能力， 利用Kafka，spark，hbase，ES，Hadoop，Redis，Zookeeper等技术搭建公司大数据平台、并进行不断的升级和优化。
4. 熟悉BI和大数据领域的解决方案，具备该领域全面的技术积累，包括报表平台，OLAP引擎和DB，ETL，数据仓库建模和设计，了解海量分布式数据处理分析架构，针对具体项目进行大数据平台的定制开发，根据公司产品和业务发展特点，研究相关的大数据产品和技术发展方向。
5. 具备数据中心资源管理、监控、调度等系统研发经验者优先，具备分布式系统研发经验者优先；
6. 具备数据分析、数据挖掘、数据可视化、在线数据相关产品的设计经验。
7. 有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题，有数据分析、挖掘、清洗和建模的经验优先；
8 . 思路清晰，对数据敏感，有良好的沟通表达能力和跨团队协调能力，有一定的技术团队管理经验，乐于寻求挑战和突破自我；
9、具有应用大数据技术处理TB级以上数据的项目开发经验者优先；
10、向hadoop相关开源产品贡献过代码或提交过bug者优先；"
"['独墅湖', '独墅湖']",苏州,苏州运哪儿物流科技有限公司,海管家,15-50人,2018-08-24 16:55:31,工业园区,大专,"O2O,电子商务","['大数据', '移动互联网', '爬虫']",全职,4956964,1年以下,4k-6k,"职位描述：

职位描述：
1、负责协助工程师进行软件系统Java开发、调试、以及测试工作
2、掌握爬虫技术，可以实现实时爬取和存储；
3、从各种数系统导出指定格式的文件 ，支撑各业务线数据需求；
4、负责协助项目后续维护和产品升级；
5、配合指导数据分析团队完成大数据文本分析系统建设。
任职要求：
1、大专及以上学历，计算机相关专业；
2、熟悉JAVA开发，有相关软件开发的实践经验；
3、熟悉WEB专业开发、B/S结构开发，熟练使用SpringMVC，mybatis等框架；
4、了解MySQL或者Oracle数据库、了解JavaScript.jquery,AJAX.HTML.CSS等Web相关技术；
5、熟悉xml，json的校验，处理，解析，转换；
6、对数据和文字敏感，有足够的分析能力；
7、热爱研发工作，学习能力强，具有分析、解决应用问题的能力；
8、具有良好的团队精神和敬业精神。"
"['独墅湖', '独墅湖']",苏州,上海众言网络科技有限公司,问卷网@爱调研,150-500人,2018-08-24 09:43:34,工业园区,本科,移动互联网,[],全职,4778984,1-3年,4k-8k,"职位描述：

有些路 一个人无法走远 总得有人并肩作战 这就是我们需要你的原因
 
    我们需要你： 1、负责制定专项市场调研方案，收集市场信息，分析调研结果，提交调研报告，预测市场动态，拟定应对策略； 2、负责收集整理行业及竞争对手信息并有针对性的进行专项调研，随时提供市场分析报告； 3、负责对销售部员工培训的前期准备工作或者联络工作。   
 
    我们期待遇见这样的你：
1、统计学、社会学、心理学、数学、市场营销等专业本科及以上学历，1至2年工作经验，特别优秀者条件可放宽到应届生； 2、了解IT行业、发展趋势等，熟悉网络调研行业优先； 3、有较强的市场感知能力，敏锐的把握市场动态、市场方向的能力； 4、较好的文字把控能力，至少熟悉一个统计软件（SPSS、SAS、R等）； 5、熟练使用OFFICE办公软件； 6、具备良好的中英文写作及沟通能力
 
 加分项：有咨询调研、计算机软件、互联网等行业销售经验者优先；
 
 
    在这里，你将拥有——
    一群让你为之骄傲的小伙伴：
    热情坚定、乐于分享、自我驱动、追求极致的高效团队
    自由平等的潜力平台：
 
    福利体系（这只是一部分）：
    每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖
    生日会：全体伙伴陪你过 不让你孤单
    社团：花样运动...... 总有人与你志同道合
    学习成长：Mentor带你全方位成长，助你成为专业人才
 
    欢迎你来发现更多的精彩......"
"['独墅湖', '独墅湖']",苏州,上海众言网络科技有限公司,问卷网@爱调研,150-500人,2018-08-24 09:43:34,工业园区,本科,移动互联网,[],全职,4803823,不限,4k-6k,"职位描述：

我们需要你：
1.负责制定专项市场调研方案，收集市场信息，分析调研结果，提交调研报告，预测市场动态，拟定应对策略；    2.负责收集整理行业及竞争对手信息并有针对性的进行专项调研，随时提供市场分析报告；    3.负责对销售部员工培训的前期准备工作或者联络工作。
我们期待遇见这样的你：
1.统计学、社会学、心理学、数学、市场营销等专业本科及以上学历，1至2年工作经验，特别优秀者条件可放宽到应届生；    2.了解IT行业、发展趋势等，熟悉网络调研行业优先；    3.有较强的市场感知能力，敏锐的把握市场动态、市场方向的能力；    4.较好的文字把控能力，至少熟悉一个统计软件（SPSS、SAS、R等）；    5.熟练使用OFFICE办公软件；    6.具备良好的中英文写作及沟通能力


在这里，你将拥有&mdash;&mdash;
一群让你为之骄傲的小伙伴：
热情坚定、乐于分享、自我驱动、追求极致的高效团队
自由平等的潜力平台：

福利体系（这只是一部分）：
每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖
生日会：全体伙伴陪你过 不让你孤单
社团：花样运动...... 总有人与你志同道合
学习成长：Mentor带你全方位成长，助你成为专业人才"
['东渚'],苏州,苏州优圣美智能系统有限公司,Yosemei,15-50人,2018-08-24 12:56:58,高新区,不限,数据服务,['大数据'],全职,2813624,不限,5k-10k,"职位描述：

岗位职责： 1、运用数据挖掘/统计学习的理论和方法，深入挖掘和分析海量数据；
2、学习和理解数据的意义；
3、运用分类、聚类各种算法进行挖掘；
4、运用大数据平台对数据进行解析、分析建模，报表展示数据挖掘的价值；
5、不需要有开发背景，入职后我们会给予专门的培训。  
任职要求：
1、统计学、数学、计算机等专业专科以上应届生即可；
2、 需要有一定的英文交流能力；
3、具有海量数据挖掘及分析相关项目经验者优先；
4、具备较强的数据解读能力，逻辑能力，业务沟通能力，强烈的责任感和很好的团队合作精神；
5、有Linux系统使用经验者优先；
6、具备很强的自学能力，能够承受工作压力,具备独立分析问题和解决问题的能力。"
"['独墅湖', '独墅湖']",苏州,苏州瑞翼信息技术有限公司,瑞翼,150-500人,2018-08-20 16:16:31,吴中区,本科,移动互联网,"['大数据', 'SPSS']",全职,3927514,3-5年,10k-20k,"职位描述：

岗位职责
1、日常数据监控，包括日报设计、开发、维护等，完善数据报表体系，及时准确监控运营状况，并提供专业分析报告。
2、针对运营环节中的问题、薄弱环节和漏洞，做详细分析报告以及优化方案的推进执行。
3、参与数据挖掘模型的构建、维护、部署和评估，构建用户数据模型，挖掘用户属性及用户喜好等需求，为业务运营提供支持。
4、数据驱动运营，通过业务数据分析得到有价值的信息，为公司运营决策、产品方向、运营策略提供数据支持。

岗位要求
1、本科学历须211院校以上，硕士及以上学历不限院校，审计、统计、数学等专业背景优先。
2、三年（含）以上数据分析或运营管理的相关工作经验。
3、【懂业务】对数据驱动业务有深入理解，有很强的数据处理及数理统计分析能力，对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力。
4、【懂分析】有一定的数据统计和数据挖掘专业知识，具备利用数据分析问题、解决问题的能力；使用过逻辑回归、神经网络、决策树、聚类等的一种或多种建模方法。
5、【懂工具】精通使用数理统计、数据分析、数据挖掘工具软件（SAS、SPSS、Eviews、R、Python等的一种或多种），精通SQL，熟悉数据采集，具备大数据处理能力，掌握Hive等相关数据工具。
6、熟悉报表工具，并可以熟练设计并开发报表，精通PowerBI等BI报表工具优先。
7、具有互联网业务行业项目经验的相关经验者优先考虑，有用户行为数据分析经验者、团队管理或新人指导经验者优先。
8、强烈的责任心及抗压能力，工作细致有条理，善于学习。
9、能够参与团队合作，积极进取，踏实勤奋。"
